都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
442011,1,大分県,大分市,大分県庁舎　本館,,大分市大手町３丁目１番１号,,33.238128,131.612605,,097-536-1111,,,,,,,,,,うち1台　人事課(健康支援班内)
442011,2,大分県,大分市,大分県庁舎　新館,,大分市大手町３丁目１番１号,,33.237366,131.612045,,097-536-1111,,,,,,,,,,
442011,3,大分県,大分市,大分県庁舎　別館,,大分市府内町３－１０－１,,33.237812,131.611038,,097-536-1111,,,,,,,,,,うち1台　医療政策課イベント用
442011,4,大分県,大分市,こころとからだの相談支援センター,,大分市大字玉沢字平石９０８番地,,33.190529,131.587826,,097-541-5276,,,,,,,,,,
442011,5,大分県,大分市,企業局　総合管理センター　発電管理部,,大分市大字下判田字二本木７６,,33.160476,131.641033,,097-597-6880,,,,,,,,,,作業現場に持ち出す場合あり
442011,6,大分県,大分市,企業局　総合管理センター　工業用水道管理部,,大分市大字下判田字穴井迫１６００,,33.16784,131.6421,,097-597-1220,,,,,,,,,,作業現場に持ち出す場合あり
442011,7,大分県,大分市,二豊学園,,大分市大字端登５番地,,33.125806,131.646743,,097-596-1144,,,,,,,,,,
442011,8,大分県,大分市,こども・女性相談支援センター,,大分市荏隈町２丁目３番１号,,33.212823,131.581858,,097-543-5681,,,,,,,,,,
442011,9,大分県,大分市,大分県自治人材育成センター,,大分市大字旦野原８４７－３,,33.172852,131.617996,,090-569-3936,,,,,,,,,,
442011,10,大分県,大分市,大分県産業科学技術センター,,大分市高江西1-4361-10,,33.166114,131.609697,,097-596-7100,,,,,,,,,,H30.5購入
442011,11,大分県,大分市,大分土木事務所,,大分市向原西１丁目４番２号,,33.252516,131.656406,,097-558-2141,,,,,,,,,,R2.11購入
442011,12,大分県,大分市,大分県立看護科学大学,,大分市大字廻栖野２９４４－９,,33.174533,131.542457,,097-586-4300,,,,,,,,,,
442011,13,大分県,大分市,大分県立芸術文化短期大学,,大分市上野丘東１番１１号,,33.223379,131.615938,,097-545-0542,,,,,,,,,,
442011,14,大分県,大分市,大分高等技術専門校,,大分市大字下宗方１０３５－１,,33.197861,131.593935,,097-542-3411,,,,,,,,,,１台は大分職業訓練センター（校敷地内）に設置
442011,15,大分県,大分市,iichiko総合文化センター,,大分市高砂町２番３３号オアシスひろば２１内,,33.23833816,131.6017832,,097-533-4001,,,,,,,,,,指定管理施設グランシアタ/音の泉各１台（財団所有）
442011,16,大分県,大分市,大分県県民の森,,大分市大字廻栖野2007-1,,33.154671,131.557205,,097-588-0656,,,,,,,,,,指定管理施設
442011,17,大分県,大分市,大分県立美術館,,大分市寿町２番１号,,33.23914,131.601974,,097-533-4500,,,,,,,,,,指定管理施設1F/2F/3Fに各1台設置
442011,18,大分県,大分市,大分スポーツ公園,,大分市横尾１３５１,,33.200716,131.657575,,097-528-7700,,,,,,,,,,
442011,19,大分県,大分市,大洲総合運動公園,,大分市青葉町１番地,,33.253632,131.624298,,097-551-2000,,,,,,,,,,
442011,20,大分県,大分市,大分県立病院,,大分市豊饒二丁目８番１号,,33.206491,131.599051,,097-546-7111,,,,,,,,,,
442011,21,大分県,大分市,消費生活・男女共同参画プラザ（アイネス）,,大分市東春日町１番１号,,33.239296,131.599559,,097-534-4034,,,,,,,,,,
442011,22,大分県,大分市,社会福祉介護研修センター,,大分市明野東３－４－１,,33.217545,131.655396,,097-552-6888,,,,,,,,,,
442011,23,大分県,大分市,大分県身体障害者福祉センター,,大分市大津町２丁目１番４１号,,33.248071,131.625354,,097-558-4849,,,,,,,,,,指定管理施設R3.11更新
442011,24,大分県,大分市,大分県聴覚障害者センター,,大分市大津町１丁目９番５号,,33.248904,131.62477,,097-551-2152,,,,,,,,,,指定管理施設R4.2更新予定
442011,25,大分県,大分市,おおいた動物愛護センター,,大分市大字廻栖野３２３１－４７,,33.154671,131.557205,,097-588-1122,,,,,,,,,,
442011,26,大分県,大分市,大分県教育センター,,大分市旦野原８４７－２,,33.17391,131.619636,,097-569-0118,,,,,,,,,,
442011,27,大分県,大分市,芸術緑丘高等学校,,大分市上野丘東１－１１,,33.223823,131.616383,,097-543-2981,,,,,,,,,,
442011,28,大分県,大分市,大分上野丘高等学校,,大分市上野丘２丁目１０番１号,,33.221685,131.611439,,097-543-6249,,,,,,,,,,
442011,29,大分県,大分市,大分舞鶴高等学校,,大分市今津留１－１９－１,,33.244377,131.623132,,097-558-2268,,,,,,,,,,
442011,30,大分県,大分市,大分雄城台高等学校,,大分市大字玉沢１２５０番地,,33.192463,131.580386,,097-541-0123,,,,,,,,,,
442011,31,大分県,大分市,大分南高等学校,,大分市大字中判田２３７３番１,,33.159496,131.630022,,097-597-6001,,,,,,,,,,
442011,32,大分県,大分市,大分豊府高等学校,,大分市大字羽屋６００番地１,,33.206714,131.605606,,097-546-2222,,,,,,,,,,
